@relation './sylva-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R16,12,11,8,5,4,2,217'

@attribute feature-50 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute feature-114 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute feature-100 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute feature-206 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute feature-14 {'\'All\''}
@attribute feature-212 {'\'All\''}
@attribute feature-72 {'\'All\''}
@attribute CLASS {0,1}

@data
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'All\'','\'All\'','\'All\'',0
