@relation './sylva-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R210,213-214,202-203,216-217-weka.filters.unsupervised.attribute.Remove-V-R1-7'

@attribute feature-197 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute feature-172 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute feature-51 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute feature-170 {'\'(-inf-111.8]\'','\'(111.8-209.6]\'','\'(209.6-307.4]\'','\'(307.4-405.2]\'','\'(405.2-503]\'','\'(503-600.8]\'','\'(600.8-698.6]\'','\'(698.6-796.4]\'','\'(796.4-894.2]\'','\'(894.2-inf)\''}
@attribute feature-182 {'\'(-inf-108.9]\'','\'(108.9-207.8]\'','\'(207.8-306.7]\'','\'(306.7-405.6]\'','\'(405.6-504.5]\'','\'(504.5-603.4]\'','\'(603.4-702.3]\'','\'(702.3-801.2]\'','\'(801.2-900.1]\'','\'(900.1-inf)\''}
@attribute feature-20 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute CLASS {0,1}

@data
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(209.6-307.4]\'','\'(108.9-207.8]\'','\'(0.9-inf)\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(209.6-307.4]\'','\'(108.9-207.8]\'','\'(0.9-inf)\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(108.9-207.8]\'','\'(0.9-inf)\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(307.4-405.2]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(307.4-405.2]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(306.7-405.6]\'','\'(0.9-inf)\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(209.6-307.4]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(307.4-405.2]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(207.8-306.7]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(405.2-503]\'','\'(207.8-306.7]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(306.7-405.6]\'','\'(0.9-inf)\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(108.9-207.8]\'','\'(0.9-inf)\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(209.6-307.4]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(307.4-405.2]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(307.4-405.2]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(108.9-207.8]\'','\'(0.9-inf)\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(207.8-306.7]\'','\'(0.9-inf)\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(209.6-307.4]\'','\'(-inf-108.9]\'','\'(0.9-inf)\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(796.4-894.2]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(209.6-307.4]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(698.6-796.4]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(-inf-108.9]\'','\'(0.9-inf)\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(207.8-306.7]\'','\'(0.9-inf)\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(702.3-801.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(111.8-209.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(306.7-405.6]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(503-600.8]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(307.4-405.2]\'','\'(108.9-207.8]\'','\'(0.9-inf)\'',1
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(405.2-503]\'','\'(405.6-504.5]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(603.4-702.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
'\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(600.8-698.6]\'','\'(504.5-603.4]\'','\'(-inf-0.1]\'',0
